listing_id,date
9597404,2016-03-15
9597404,2016-05-09
9597404,2016-05-30
9597404,2016-06-05
10415366,2016-06-21
10040046,2016-01-02
10040046,2016-01-08
10040046,2016-01-17
10040046,2016-02-05
10040046,2016-02-08
10040046,2016-02-15
10040046,2016-02-17
10040046,2016-02-28
10040046,2016-03-08
10040046,2016-03-13
10040046,2016-03-18
10040046,2016-03-26
10040046,2016-04-11
10040046,2016-04-18
10040046,2016-04-24
10040046,2016-05-07
10040046,2016-05-22
10040046,2016-05-26
10040046,2016-05-29
10040046,2016-06-01
10040046,2016-06-11
10040046,2016-06-15
12189273,2016-07-02
6833927,2015-06-20
6833927,2015-06-28
6833927,2015-07-06
6833927,2015-07-14
6833927,2015-07-17
6833927,2015-07-19
6833927,2015-07-21
6833927,2015-07-23
6833927,2015-07-25
6833927,2015-08-01
6833927,2015-08-04
6833927,2015-08-07
6833927,2015-08-15
6833927,2015-09-01
6833927,2015-09-06
6833927,2015-09-10
6833927,2015-09-11
6833927,2015-09-12
6833927,2015-10-09
6833927,2015-12-12
6833927,2016-01-05
6833927,2016-01-10
6833927,2016-01-17
6833927,2016-01-19
6833927,2016-01-28
6833927,2016-02-01
6833927,2016-02-12
6833927,2016-02-14
6833927,2016-03-05
6833927,2016-03-12
6833927,2016-03-19
6833927,2016-03-23
6833927,2016-04-03
6833927,2016-04-12
6833927,2016-04-23
6833927,2016-04-27
6833927,2016-05-05
6833927,2016-05-10
6833927,2016-05-14
6833927,2016-05-24
9399154,2016-05-08
9399154,2016-06-19
9399154,2016-06-26
3877460,2014-08-25
3877460,2014-08-28
3877460,2014-09-01
3877460,2014-09-05
3877460,2014-09-07
3877460,2014-09-11
3877460,2014-09-15
3877460,2014-09-18
3877460,2014-09-25
3877460,2014-09-28
3877460,2014-10-08
3877460,2014-10-19
3877460,2014-10-22
3877460,2014-10-26
3877460,2014-11-09
3877460,2014-11-12
3877460,2014-11-23
3877460,2014-11-30
3877460,2014-12-08
3877460,2014-12-14
3877460,2014-12-21
3877460,2014-12-31
3877460,2015-01-02
3877460,2015-01-04
3877460,2015-01-08
3877460,2015-01-12
3877460,2015-01-18
3877460,2015-01-25
3877460,2015-02-02
3877460,2015-02-06
3877460,2015-02-17
3877460,2015-02-26
3877460,2015-03-01
3877460,2015-03-15
3877460,2015-03-18
3877460,2015-03-20
3877460,2015-04-04
3877460,2015-04-27
3877460,2015-05-20
3877460,2015-05-23
3877460,2015-06-01
3877460,2015-06-04
3877460,2015-06-07
3877460,2015-06-09
3877460,2015-06-15
3877460,2015-06-18
3877460,2015-06-25
3877460,2015-07-06
